pizza_id,order_id,pizza_name_id,quantity,order_date,order_time,unit_price,total_price,pizza_size,pizza_category,pizza_name
1,1,hawaiian_m,1,01-01-2015,11:38:36,13.25,13.25,M,Classic,The Hawaiian Pizza
2,2,classic_dlx_m,1,01-01-2015,11:57:40,16,16,M,Classic,The Classic Deluxe Pizza
3,2,five_cheese_l,1,01-01-2015,11:57:40,18.5,18.5,L,Veggie,The Five Cheese Pizza
4,2,ital_supr_l,1,01-01-2015,11:57:40,20.75,20.75,L,Supreme,The Italian Supreme Pizza
5,2,mexicana_m,1,01-01-2015,11:57:40,16,16,M,Veggie,The Mexicana Pizza
6,2,thai_ckn_l,1,01-01-2015,11:57:40,20.75,20.75,L,Chicken,The Thai Chicken Pizza
7,3,ital_supr_m,1,01-01-2015,12:12:28,16.5,16.5,M,Supreme,The Italian Supreme Pizza
8,3,prsc_argla_l,1,01-01-2015,12:12:28,20.75,20.75,L,Supreme,The Prosciutto and Arugula Pizza
9,4,ital_supr_m,1,01-01-2015,12:16:31,16.5,16.5,M,Supreme,The Italian Supreme Pizza
10,5,ital_supr_m,1,01-01-2015,12:21:30,16.5,16.5,M,Supreme,The Italian Supreme Pizza
11,6,bbq_ckn_s,1,01-01-2015,12:29:36,12.75,12.75,S,Chicken,The Barbecue Chicken Pizza
12,6,the_greek_s,1,01-01-2015,12:29:36,12,12,S,Classic,The Greek Pizza
13,7,spinach_supr_s,1,01-01-2015,12:50:37,12.5,12.5,S,Supreme,The Spinach Supreme Pizza
14,8,spinach_supr_s,1,01-01-2015,12:51:37,12.5,12.5,S,Supreme,The Spinach Supreme Pizza
15,9,classic_dlx_s,1,01-01-2015,12:52:01,12,12,S,Classic,The Classic Deluxe Pizza
16,9,green_garden_s,1,01-01-2015,12:52:01,12,12,S,Veggie,The Green Garden Pizza
17,9,ital_cpcllo_l,1,01-01-2015,12:52:01,20.5,20.5,L,Classic,The Italian Capocollo Pizza
18,9,ital_supr_l,1,01-01-2015,12:52:01,20.75,20.75,L,Supreme,The Italian Supreme Pizza
19,9,ital_supr_s,1,01-01-2015,12:52:01,12.5,12.5,S,Supreme,The Italian Supreme Pizza
20,9,mexicana_s,1,01-01-2015,12:52:01,12,12,S,Veggie,The Mexicana Pizza
21,9,spicy_ital_l,1,01-01-2015,12:52:01,20.75,20.75,L,Supreme,The Spicy Italian Pizza
22,9,spin_pesto_l,1,01-01-2015,12:52:01,20.75,20.75,L,Veggie,The Spinach Pesto Pizza
23,9,veggie_veg_s,1,01-01-2015,12:52:01,12,12,S,Veggie,The Vegetables + Vegetables Pizza
24,10,mexicana_l,1,01-01-2015,13:00:15,20.25,20.25,L,Veggie,The Mexicana Pizza
25,10,southw_ckn_l,1,01-01-2015,13:00:15,20.75,20.75,L,Chicken,The Southwest Chicken Pizza
26,11,bbq_ckn_l,1,01-01-2015,13:02:59,20.75,20.75,L,Chicken,The Barbecue Chicken Pizza
27,11,cali_ckn_l,1,01-01-2015,13:02:59,20.75,20.75,L,Chicken,The California Chicken Pizza
28,11,cali_ckn_m,1,01-01-2015,13:02:59,16.75,16.75,M,Chicken,The California Chicken Pizza
29,11,pepperoni_l,1,01-01-2015,13:02:59,15.25,15.25,L,Classic,The Pepperoni Pizza
30,12,cali_ckn_l,1,01-01-2015,13:04:41,20.75,20.75,L,Chicken,The California Chicken Pizza
31,12,cali_ckn_s,1,01-01-2015,13:04:41,12.75,12.75,S,Chicken,The California Chicken Pizza
32,12,ckn_pesto_l,1,01-01-2015,13:04:41,20.75,20.75,L,Chicken,The Chicken Pesto Pizza
33,12,ital_supr_m,1,01-01-2015,13:04:41,16.5,16.5,M,Supreme,The Italian Supreme Pizza
34,13,mexicana_l,1,01-01-2015,13:11:55,20.25,20.25,L,Veggie,The Mexicana Pizza
35,14,the_greek_s,1,01-01-2015,13:14:19,12,12,S,Classic,The Greek Pizza
36,15,big_meat_s,1,01-01-2015,13:33:00,12,12,S,Classic,The Big Meat Pizza
37,15,five_cheese_l,1,01-01-2015,13:33:00,18.5,18.5,L,Veggie,The Five Cheese Pizza
38,15,soppressata_l,1,01-01-2015,13:33:00,20.75,20.75,L,Supreme,The Soppressata Pizza
39,15,the_greek_s,1,01-01-2015,13:33:00,12,12,S,Classic,The Greek Pizza
40,16,four_cheese_l,1,01-01-2015,13:34:07,17.95,17.95,L,Veggie,The Four Cheese Pizza
41,16,napolitana_s,1,01-01-2015,13:34:07,12,12,S,Classic,The Napolitana Pizza
42,16,thai_ckn_l,1,01-01-2015,13:34:07,20.75,20.75,L,Chicken,The Thai Chicken Pizza
43,17,bbq_ckn_l,1,01-01-2015,13:53:00,20.75,20.75,L,Chicken,The Barbecue Chicken Pizza
44,17,calabrese_m,1,01-01-2015,13:53:00,16.25,16.25,M,Supreme,The Calabrese Pizza
45,17,five_cheese_l,1,01-01-2015,13:53:00,18.5,18.5,L,Veggie,The Five Cheese Pizza
46,17,four_cheese_m,1,01-01-2015,13:53:00,14.75,14.75,M,Veggie,The Four Cheese Pizza
47,17,ital_supr_m,1,01-01-2015,13:53:00,16.5,16.5,M,Supreme,The Italian Supreme Pizza
